Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989-1990,"Charles Barkley*",SF,26,PHI,79,3085,27.10,0.6610,0.0780,0.6320,13.40,20.00,16.70,15.60,2.40,1.00,13.90,24.00,13.10,2.10,17.30,0.2690,7.2000,1.0000,8.2000,8.0000
1981-1982,"Charles Bradley",SG,22,BOS,51,339,8.90,0.5090,0.0080,0.5080,4.00,8.20,6.20,8.50,2.00,1.00,19.90,22.00,-0.20,0.40,0.20,0.0300,-4.7000,0.2000,-4.5000,-0.2000
1982-1983,"Charles Bradley",SG,23,BOS,51,532,8.70,0.4270,0.0170,0.5110,6.10,9.60,7.90,6.50,2.80,2.80,16.30,19.00,-0.60,0.90,0.20,0.0200,-4.1000,1.5000,-2.6000,-0.1000
1983-1984,"Charles Bradley",SG,24,SEA,8,39,0.50,0.5460,0.0000,1.0000,0.00,8.70,4.40,16.10,0.00,1.40,44.20,19.30,-0.10,0.00,-0.10,-0.1520,-5.2000,-0.5000,-5.6000,-0.1000
1988-1989,"Charles Davis",SF,30,CHI,49,545,10.30,0.4590,0.0790,0.1370,10.30,13.80,12.10,7.90,1.00,0.60,9.80,17.60,0.10,0.40,0.50,0.0480,-2.4000,-1.8000,-4.3000,-0.3000
1989-1990,"Charles Davis",SF,31,CHI,53,429,6.70,0.4020,0.1580,0.0510,6.90,15.50,11.10,5.60,1.20,1.20,11.00,18.10,-0.50,2.10,-0.20,-0.0170,-5.1000,-2.3000,-7.4000,-0.6000
1984-1985,"Charles Davis",SF,26,MIL,57,746,11.40,0.4720,0.0290,0.1680,8.50,13.60,11.10,9.60,1.40,0.40,12.30,23.10,0.00,1.10,1.00,0.0670,-2.7000,-1.0000,-3.7000,-0.3000
1985-1986,"Charles Davis",SF,27,MIL,57,873,13.90,0.5120,0.0600,0.1890,7.70,13.90,10.90,9.10,1.40,0.50,10.40,22.10,0.80,1.20,2.10,0.1140,-0.9000,-0.8000,-1.7000,0.1000
1987-1988,"Charles Davis",SF,29,MIL,5,39,0.90,0.3330,0.1110,0.0000,2.90,5.80,4.30,11.00,2.50,1.50,21.70,24.80,-0.20,0.00,-0.20,-0.2010,-7.0000,-1.1000,-8.1000,-0.1000
1987-1988,"Charles Davis",SF,29,SAS,16,187,10.40,0.4540,0.1550,0.1030,8.60,13.40,11.00,12.80,0.00,0.90,11.40,24.10,-0.10,0.00,-0.10,-0.0240,-2.2000,-3.2000,-5.4000,-0.2000
1984-1985,"Charles Davis",SF,26,TOT,61,774,11.10,0.4670,0.0280,0.1740,8.50,13.40,11.00,9.40,1.40,0.40,12.30,23.00,-0.10,1.10,1.00,0.0600,-2.9000,-1.0000,-3.9000,-0.4000
1987-1988,"Charles Davis",SF,29,TOT,21,226,8.70,0.4360,0.1480,0.0870,7.60,12.10,9.80,12.50,0.40,1.00,13.10,24.30,-0.30,0.00,-0.30,-0.0550,-3.1000,-2.8000,-5.9000,-0.2000
1981-1982,"Charles Davis",SF,23,WSB,54,575,10.70,0.5140,0.0110,0.2010,10.50,14.80,12.60,7.70,0.80,1.30,17.70,17.70,0.00,0.80,0.90,0.0720,-2.9000,0.3000,-2.6000,-0.1000
1982-1983,"Charles Davis",SF,24,WSB,74,1161,13.10,0.4890,0.0190,0.1670,7.80,12.50,10.20,10.20,1.30,1.10,13.70,23.70,-0.30,1.80,1.50,0.0610,-1.5000,0.1000,-1.4000,0.2000
1983-1984,"Charles Davis",SF,25,WSB,46,467,13.40,0.4910,0.0410,0.1790,8.50,17.20,12.90,10.40,1.50,1.20,13.30,24.80,-0.20,0.60,0.30,0.0340,-2.0000,-0.5000,-2.5000,-0.1000
1984-1985,"Charles Davis",SF,26,WSB,4,28,1.00,0.2980,0.0000,0.4000,7.70,8.10,7.90,4.40,1.70,0.00,14.50,20.50,-0.10,0.00,-0.10,-0.1270,-8.1000,-0.6000,-8.7000,0.0000
1984-1985,"Charles Jones",PF,27,CHI,3,29,8.50,0.6020,0.0000,1.5000,8.20,15.60,12.00,4.30,0.00,9.90,37.60,15.30,0.00,0.00,0.00,-0.0010,-5.5000,2.2000,-3.3000,0.0000
1983-1984,"Charles Jones",PF,26,PHI,1,3,-19.50,0.1810,0.0000,4.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,-0.5520,-5.0000,-0.2000,-5.2000,0.0000
1984-1985,"Charles Jones",C,23,PHO,78,1565,14.40,0.5660,0.0090,0.6190,10.20,18.20,14.30,11.10,1.30,2.20,19.80,18.70,0.80,2.10,2.90,0.0890,-0.7000,0.4000,-0.2000,0.7000
1985-1986,"Charles Jones",PF,24,PHO,43,742,10.00,0.4830,0.0060,0.5980,10.50,19.10,15.00,8.90,2.00,1.90,21.60,14.20,-0.30,1.00,0.60,0.0420,-2.2000,1.0000,-1.2000,0.2000
1987-1988,"Charles Jones",PF,26,POR,37,186,5.90,0.4680,0.0250,0.8250,6.40,11.60,9.00,5.10,0.70,1.90,18.00,14.10,-0.10,0.20,0.10,0.0170,-5.1000,-0.9000,-6.0000,-0.2000
1984-1985,"Charles Jones",C-PF,27,TOT,31,667,14.90,0.5700,0.0000,0.4570,11.50,19.10,15.20,4.90,1.60,6.80,14.10,11.10,0.90,1.40,2.20,0.1610,-2.1000,3.2000,1.1000,0.5000
1984-1985,"Charles Jones",C,27,WSB,28,638,15.10,0.5690,0.0000,0.4230,11.70,19.30,15.40,5.00,1.70,6.60,12.60,10.90,0.90,1.30,2.20,0.1680,-2.0000,3.2000,1.3000,0.5000
1985-1986,"Charles Jones",C,28,WSB,81,1609,10.50,0.5350,0.0040,0.3390,8.20,13.30,10.80,6.30,1.70,4.60,19.60,9.40,0.60,2.60,3.20,0.0960,-2.6000,3.0000,0.4000,1.0000
1986-1987,"Charles Jones",PF,29,WSB,79,1609,10.60,0.5030,0.0040,0.3050,9.30,14.20,11.70,6.40,2.00,5.70,21.40,9.00,0.20,2.60,2.80,0.0830,-3.0000,3.3000,0.3000,1.0000
1987-1988,"Charles Jones",PF,30,WSB,69,1313,9.30,0.4690,0.0060,0.4240,8.90,18.80,13.80,5.70,2.00,5.00,21.30,8.40,0.00,2.20,2.20,0.0820,-3.6000,3.4000,-0.2000,0.6000
1988-1989,"Charles Jones",PF,27,WSB,43,516,10.70,0.5220,0.0370,0.6460,11.00,19.00,14.80,4.30,1.70,1.80,17.30,9.90,0.30,0.60,0.90,0.0860,-1.5000,0.8000,-0.7000,0.2000
1988-1989,"Charles Jones",C,31,WSB,53,1154,7.40,0.5000,0.0080,0.2000,7.00,17.80,12.20,4.40,1.60,3.90,22.30,6.10,0.10,1.50,1.60,0.0680,-4.3000,2.3000,-2.0000,0.0000
1989-1990,"Charles Jones",C,32,WSB,81,2240,9.20,0.5540,0.0000,0.5680,6.90,17.40,12.10,7.20,1.10,5.00,24.70,5.60,1.00,2.10,3.80,0.0820,-3.1000,2.7000,-0.5000,0.9000
1985-1986,"Charles Oakley",PF,22,CHI,77,1772,16.50,0.5610,0.0060,0.4970,15.70,27.10,21.20,10.50,1.80,1.00,21.00,19.20,1.70,1.60,3.30,0.0900,0.5000,-0.9000,-0.4000,0.7000
1986-1987,"Charles Oakley",PF,23,CHI,82,2980,14.20,0.4930,0.0290,0.3390,11.20,30.10,20.40,14.30,1.40,0.70,19.80,21.30,-1.10,4.60,3.50,0.0560,-1.7000,-0.3000,-2.0000,0.0000
