Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1984-1985,"Craig Ehlo",SG,23,HOU,45,189,12.80,0.5290,0.0430,0.4350,4.70,10.00,7.40,18.00,2.70,0.90,21.10,21.80,0.00,0.20,0.20,0.0570,-2.0000,1.1000,-0.9000,0.1000
1985-1986,"Craig Ehlo",SG,24,HOU,36,199,17.50,0.5060,0.1070,0.3450,9.10,15.90,12.50,18.90,2.60,1.10,13.40,21.90,0.30,0.20,0.50,0.1260,1.4000,0.4000,1.9000,0.2000
1988-1989,"Craig Hodges",SG,28,CHI,49,1112,14.90,0.5870,0.4260,0.1350,2.30,6.30,4.40,17.60,1.80,0.20,11.10,18.10,2.10,0.80,2.80,0.1230,1.7000,-0.5000,1.2000,0.9000
1989-1990,"Craig Hodges",SG,29,CHI,63,1055,12.50,0.5890,0.5470,0.1000,1.20,4.70,3.00,13.80,1.40,0.10,8.00,15.20,2.20,2.10,2.60,0.1170,1.2000,-1.2000,0.0000,0.5000
1984-1985,"Craig Hodges",SG,24,MIL,82,2496,11.80,0.5520,0.1840,0.1780,3.30,5.00,4.10,18.50,1.90,0.00,14.60,15.10,3.20,2.90,6.00,0.1150,-0.5000,0.6000,0.0000,1.3000
1985-1986,"Craig Hodges",SG,25,MIL,66,1739,13.90,0.5910,0.2850,0.1510,2.50,5.00,3.80,17.70,2.00,0.10,12.80,16.00,3.30,2.00,5.30,0.1470,1.4000,0.5000,1.9000,1.7000
1986-1987,"Craig Hodges",PG,26,MIL,78,2147,11.90,0.5670,0.3340,0.2160,2.50,4.80,3.60,15.40,1.70,0.20,14.20,16.60,2.40,1.90,4.30,0.0950,-0.1000,-0.2000,-0.3000,0.9000
1987-1988,"Craig Hodges",SG,27,MIL,43,983,11.30,0.5480,0.3420,0.1130,1.40,3.90,2.60,16.00,1.50,0.00,11.90,17.60,0.90,0.60,1.50,0.0730,-0.2000,-0.6000,-0.8000,0.3000
1987-1988,"Craig Hodges",SG,27,PHO,23,462,14.20,0.6040,0.3200,0.1800,1.70,6.10,3.90,13.40,1.60,0.30,12.70,19.40,0.70,0.10,0.90,0.0900,1.3000,-1.0000,0.2000,0.3000
1988-1989,"Craig Hodges",SG,28,PHO,10,92,9.50,0.5160,0.3330,0.1110,2.40,3.30,2.90,11.20,1.00,0.00,11.70,18.40,0.00,0.10,0.10,0.0490,-0.9000,-1.4000,-2.3000,0.0000
1982-1983,"Craig Hodges",SG,22,SDC,76,2022,10.30,0.4930,0.1280,0.1850,2.80,4.20,3.40,18.00,1.90,0.10,17.50,17.70,0.60,0.20,0.80,0.0180,-1.9000,-1.7000,-3.5000,-0.8000
1983-1984,"Craig Hodges",SG,23,SDC,76,1571,8.70,0.4840,0.0800,0.1540,1.60,4.60,3.10,9.80,1.80,0.00,12.20,17.70,0.20,0.30,0.50,0.0150,-3.7000,-0.9000,-4.5000,-1.0000
1987-1988,"Craig Hodges",SG,27,TOT,66,1445,12.20,0.5670,0.3350,0.1360,1.50,4.60,3.00,15.20,1.50,0.10,12.20,18.20,1.60,0.70,2.40,0.0780,0.3000,-0.7000,-0.4000,0.6000
1988-1989,"Craig Hodges",SG,28,TOT,59,1204,14.50,0.5810,0.4190,0.1330,2.30,6.10,4.30,17.20,1.80,0.20,11.10,18.10,2.10,0.80,2.90,0.1170,1.5000,-0.6000,0.9000,0.9000
1988-1989,"Craig Neal",PG,24,MIA,32,341,7.90,0.4580,0.2840,0.2390,1.30,4.80,3.00,35.40,2.10,0.70,29.10,16.40,-0.40,0.20,-0.20,-0.0220,-3.6000,-1.4000,-5.0000,-0.3000
1988-1989,"Craig Neal",PG,24,POR,21,159,4.30,0.3480,0.2570,0.0570,2.00,5.60,3.80,23.30,2.60,0.00,28.10,12.10,-0.20,0.10,-0.10,-0.0320,-5.8000,0.3000,-5.5000,-0.1000
1988-1989,"Craig Neal",PG,24,TOT,53,500,6.70,0.4280,0.2760,0.1870,1.50,5.10,3.20,31.60,2.30,0.50,28.90,15.00,-0.60,0.30,-0.30,-0.0250,-4.3000,-0.9000,-5.2000,-0.4000
1980-1981,"Craig Shelton",SF,23,ATL,55,586,8.80,0.4810,0.0050,0.2650,11.40,15.70,13.50,7.00,1.50,0.50,20.00,21.60,-0.50,0.50,0.00,-0.0020,-5.0000,-1.4000,-6.5000,-0.7000
1981-1982,"Craig Shelton",SF,24,ATL,4,21,5.80,0.3630,0.0000,0.3330,5.40,10.80,8.10,0.00,2.40,0.00,0.00,14.20,0.00,0.00,0.00,0.0340,-4.4000,0.0000,-4.4000,0.0000
1986-1987,"Curtis Kitchen",PF,23,SEA,6,31,18.50,0.5800,0.1670,0.6670,14.00,17.60,15.80,4.00,3.00,5.50,0.00,9.90,0.10,0.10,0.10,0.2170,1.8000,3.0000,4.8000,0.1000
1983-1984,"Dale Ellis",SF,23,DAL,67,1059,15.10,0.5030,0.0590,0.2450,11.60,15.80,13.70,7.60,1.90,0.50,12.50,24.60,0.50,1.00,1.50,0.0660,-0.8000,-1.6000,-2.4000,-0.1000
1984-1985,"Dale Ellis",SF,24,DAL,72,1314,14.70,0.5140,0.1810,0.1720,8.50,12.20,10.30,6.20,1.70,0.30,8.20,22.50,1.30,1.10,2.40,0.0880,0.3000,-1.3000,-1.0000,0.3000
1985-1986,"Dale Ellis",SF,25,DAL,72,1086,13.50,0.5020,0.3680,0.1740,8.90,8.10,8.50,4.60,1.70,0.40,7.00,20.40,1.20,0.40,1.60,0.0710,1.1000,-2.0000,-0.9000,0.3000
1986-1987,"Dale Ellis",SG,26,SEA,82,3073,19.00,0.5880,0.1580,0.3220,6.60,9.30,7.90,11.90,1.60,0.60,12.10,25.30,7.60,1.70,9.30,0.1450,3.5000,-1.1000,2.4000,3.4000
1987-1988,"Dale Ellis",SG,27,SEA,75,2790,19.30,0.5720,0.1710,0.2600,6.60,7.20,6.90,11.40,1.30,0.20,9.20,26.80,7.40,1.60,9.00,0.1550,4.3000,-1.8000,2.5000,3.2000
1988-1989,"Dale Ellis",SG,28,SEA,82,3190,19.70,0.5890,0.1980,0.2700,5.30,6.70,6.00,8.10,1.60,0.40,10.20,26.60,9.20,1.60,10.80,0.1630,4.3000,-1.6000,2.7000,3.8000
1989-1990,"Dale Ellis",SG,29,SEA,55,2033,19.00,0.5800,0.2530,0.2330,5.00,8.90,6.90,8.70,1.50,0.20,9.60,25.30,5.40,2.10,6.40,0.1500,4.0000,-1.5000,2.5000,2.3000
1984-1985,"Dale Wilkinson",PF,24,DET,2,7,-10.90,0.0000,0.0000,0.0000,0.00,15.60,7.40,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,-0.1970,-16.0000,-3.3000,-19.3000,0.0000
1984-1985,"Dale Wilkinson",SF,24,LAC,10,38,0.50,0.4100,0.0710,0.5000,3.00,5.60,4.40,6.70,0.00,0.00,19.00,22.60,-0.10,0.00,-0.10,-0.1100,-9.1000,-3.9000,-13.0000,-0.1000
1984-1985,"Dale Wilkinson",SF-PF,24,TOT,12,45,-1.30,0.3670,0.0630,0.4380,2.50,7.20,4.80,5.60,0.00,0.00,17.30,20.80,-0.10,0.00,-0.10,-0.1240,-10.2000,-3.8000,-14.0000,-0.1000
1987-1988,"Dallas Comegys",PF,23,NJN,75,1122,9.50,0.4870,0.0030,0.4130,5.40,17.50,11.30,8.60,1.60,3.80,21.30,20.50,-1.60,1.30,-0.30,-0.0120,-5.0000,0.9000,-4.2000,-0.6000
1988-1989,"Dallas Comegys",PF,24,SAS,67,1119,11.90,0.5320,0.0060,0.4720,10.50,12.50,11.50,3.70,1.70,3.40,17.10,17.30,0.30,1.10,1.40,0.0600,-2.9000,-0.2000,-3.0000,-0.3000
1980-1981,"Dan Issel*",C,32,DEN,80,2641,21.70,0.5750,0.0100,0.5610,8.60,17.70,13.10,8.40,1.40,1.00,7.90,23.20,8.90,1.60,10.50,0.1900,3.7000,-1.1000,2.7000,3.1000
1981-1982,"Dan Issel*",C,33,DEN,81,2472,23.10,0.6080,0.0050,0.5300,7.70,18.30,13.20,9.80,1.20,1.10,10.00,26.00,9.00,0.80,9.80,0.1900,4.0000,-1.8000,2.2000,2.6000
1982-1983,"Dan Issel*",C,34,DEN,80,2431,21.60,0.5730,0.0150,0.3700,6.30,18.60,12.40,12.60,1.50,0.90,10.40,25.50,6.80,1.50,8.40,0.1650,3.2000,-1.2000,2.1000,2.5000
1983-1984,"Dan Issel*",C,35,DEN,76,2076,21.10,0.5610,0.0160,0.3710,5.50,20.80,13.00,11.60,1.30,1.10,8.30,26.60,4.80,1.30,6.10,0.1410,2.6000,-1.4000,1.2000,1.7000
1984-1985,"Dan Issel*",C,36,DEN,77,1684,16.90,0.5280,0.0090,0.4030,4.80,17.00,10.50,10.70,1.70,1.00,9.10,23.00,2.70,1.70,4.30,0.1240,0.4000,-0.7000,-0.3000,0.7000
1988-1989,"Dan Majerle",SG,23,PHO,54,1354,11.30,0.4790,0.1900,0.2940,5.10,11.10,8.20,11.80,2.10,0.60,9.00,15.70,0.90,1.70,2.50,0.0900,-1.0000,1.3000,0.3000,0.8000
1989-1990,"Dan Majerle",SG,24,PHO,73,2244,13.50,0.4980,0.1150,0.3720,7.50,13.10,10.50,11.00,2.10,0.80,9.20,16.50,2.60,2.10,5.50,0.1180,0.1000,1.1000,1.3000,1.9000
1980-1981,"Dan Roundfield",PF,27,ATL,63,2128,20.70,0.5750,0.0010,0.4390,12.30,22.00,17.10,12.10,1.70,3.30,15.60,22.30,4.20,2.80,7.00,0.1590,2.3000,0.8000,3.1000,2.7000
1981-1982,"Dan Roundfield",PF,28,ATL,61,2217,19.50,0.5270,0.0050,0.4120,11.60,25.30,18.40,11.90,1.50,2.60,14.50,24.60,2.40,4.10,6.50,0.1410,1.6000,0.7000,2.3000,2.4000
1982-1983,"Dan Roundfield",PF,29,ATL,77,2811,18.80,0.5260,0.0230,0.3770,9.80,23.40,16.60,12.40,1.00,2.30,15.00,24.20,2.90,4.50,7.40,0.1270,1.3000,0.5000,1.7000,2.6000
1983-1984,"Dan Roundfield",PF,30,ATL,73,2610,18.90,0.5510,0.0110,0.4680,8.90,22.90,15.80,11.40,1.20,1.70,14.10,24.10,3.50,3.60,7.10,0.1310,1.8000,-0.1000,1.7000,2.4000
1984-1985,"Dan Roundfield",PF,31,DET,56,1492,13.90,0.5240,0.0040,0.3520,11.70,20.30,15.80,8.40,0.80,2.00,17.40,18.20,0.90,1.80,2.70,0.0870,-0.7000,0.0000,-0.8000,0.5000
1985-1986,"Dan Roundfield",PF,32,WSB,79,2321,14.70,0.5600,0.0090,0.5480,9.80,20.10,15.00,10.40,0.80,1.20,18.60,18.10,2.10,3.10,5.10,0.1060,-0.5000,-0.2000,-0.8000,0.7000
1986-1987,"Dan Roundfield",PF,33,WSB,36,669,10.60,0.4730,0.0230,0.3270,10.00,17.10,13.50,8.10,0.80,1.30,16.30,18.10,-0.10,0.70,0.60,0.0420,-2.5000,-0.8000,-3.2000,-0.2000
1989-1990,"Dana Barros",PG,22,SEA,81,1630,12.80,0.4970,0.3220,0.1490,2.40,7.30,4.70,18.30,1.60,0.00,13.50,23.30,1.10,2.10,1.80,0.0530,0.8000,-1.4000,-0.6000,0.6000
1983-1984,"Dane Suttle",SG,22,KCK,40,469,15.30,0.5500,0.0140,0.2200,5.00,6.20,5.60,14.90,2.00,0.00,12.00,22.90,0.60,0.30,0.90,0.0940,0.0000,-0.4000,-0.4000,0.2000
1984-1985,"Dane Suttle",SG,23,KCK,6,24,14.30,0.5040,0.0770,0.1540,0.00,14.10,7.10,12.30,1.90,0.00,6.70,24.50,0.00,0.00,0.00,0.0720,-1.8000,-0.1000,-2.0000,0.0000
1981-1982,"Danny Ainge",SG,22,BOS,53,564,10.10,0.4390,0.0770,0.2940,5.00,5.90,5.50,19.70,3.10,0.30,17.50,21.50,-0.30,0.80,0.50,0.0420,-3.7000,1.0000,-2.7000,-0.1000
1982-1983,"Danny Ainge",SG,23,BOS,80,2048,13.20,0.5190,0.0400,0.1350,4.40,6.80,5.60,16.10,2.50,0.20,11.40,16.50,2.80,2.40,5.20,0.1210,-1.0000,1.2000,0.2000,1.2000
1983-1984,"Danny Ainge",SG,24,BOS,71,1154,10.40,0.4980,0.0610,0.1550,3.00,8.30,5.70,18.40,1.70,0.20,15.40,16.20,0.50,1.30,1.80,0.0760,-2.2000,0.4000,-1.8000,0.0000
1984-1985,"Danny Ainge",SG,25,BOS,75,2564,14.20,0.5700,0.0710,0.1720,3.40,7.90,5.80,19.90,2.20,0.10,14.90,15.90,3.90,2.80,6.60,0.1240,-0.1000,0.8000,0.7000,1.8000
1985-1986,"Danny Ainge",SG,26,BOS,80,2407,13.60,0.5620,0.1040,0.1940,2.30,8.10,5.40,21.30,1.90,0.20,14.50,15.20,3.60,3.20,6.80,0.1360,-0.1000,1.0000,0.9000,1.8000
1986-1987,"Danny Ainge",SG,27,BOS,71,2499,15.20,0.5740,0.2270,0.1950,2.40,8.00,5.40,21.20,2.00,0.30,13.30,18.00,4.10,2.50,6.70,0.1280,1.0000,0.3000,1.2000,2.0000
1987-1988,"Danny Ainge",SG,28,BOS,81,3018,15.90,0.5980,0.3640,0.1830,2.50,7.00,4.90,22.20,1.90,0.30,12.60,17.30,6.70,1.90,8.60,0.1360,2.7000,-0.3000,2.4000,3.3000
1988-1989,"Danny Ainge",PG,29,BOS,45,1349,17.50,0.5530,0.2630,0.2170,3.20,9.80,6.60,23.10,1.90,0.00,11.30,22.40,2.90,0.80,3.80,0.1330,2.7000,-0.4000,2.3000,1.5000
1988-1989,"Danny Ainge",PG,29,SAC,28,1028,18.60,0.5540,0.3250,0.2420,3.50,7.10,5.30,28.10,1.90,0.40,11.00,22.90,2.30,0.60,2.90,0.1360,3.1000,-0.5000,2.7000,1.2000
1989-1990,"Danny Ainge",PG,30,SAC,75,2727,16.10,0.5280,0.2500,0.2310,2.90,10.60,6.80,25.50,2.10,0.40,12.70,23.00,2.70,2.10,4.80,0.0850,1.2000,-0.1000,1.1000,2.1000
1988-1989,"Danny Ainge",PG,29,TOT,73,2377,18.00,0.5540,0.2900,0.2280,3.30,8.70,6.00,25.30,1.90,0.20,11.10,22.60,5.20,1.40,6.70,0.1350,2.9000,-0.4000,2.5000,2.7000
1988-1989,"Danny Manning",PF,22,LAC,26,950,13.40,0.5380,0.0140,0.2880,7.90,11.30,9.60,12.20,2.10,1.50,18.70,20.60,0.00,0.70,0.70,0.0340,-0.8000,-0.4000,-1.3000,0.2000
1989-1990,"Danny Manning",PF,23,LAC,71,2269,16.30,0.5840,0.0060,0.4480,7.20,13.90,10.60,12.80,1.90,1.00,16.00,21.70,2.90,2.10,5.30,0.1120,0.2000,0.2000,0.4000,1.4000
1982-1983,"Danny Schayes",C,23,DEN,32,646,13.20,0.5250,0.0000,0.4260,9.80,19.30,14.60,7.50,1.00,2.30,17.20,19.30,0.40,0.40,0.80,0.0620,-2.3000,-1.2000,-3.5000,-0.2000
1983-1984,"Danny Schayes",C,24,DEN,82,1420,12.90,0.5920,0.0050,0.7330,10.50,21.90,16.00,7.40,1.00,2.20,19.50,16.20,1.80,1.10,2.80,0.0950,-2.8000,-0.6000,-3.4000,-0.5000
1984-1985,"Danny Schayes",C,25,DEN,56,542,12.80,0.5800,0.0000,0.7520,8.90,20.20,14.20,8.10,1.60,2.60,20.40,15.00,0.60,0.70,1.20,0.1090,-2.6000,0.5000,-2.1000,0.0000
1985-1986,"Danny Schayes",C,26,DEN,80,1654,13.40,0.5850,0.0020,0.6320,9.30,18.80,13.90,5.90,1.10,2.10,15.70,15.50,2.40,2.20,4.60,0.1340,-2.1000,0.1000,-2.0000,0.0000
1986-1987,"Danny Schayes",C,27,DEN,76,1556,13.40,0.6070,0.0000,0.7260,7.60,18.70,12.80,6.70,0.60,2.70,15.10,15.50,2.60,1.30,3.90,0.1210,-2.0000,-0.3000,-2.3000,-0.1000
1987-1988,"Danny Schayes",PF,28,DEN,81,2166,18.40,0.6400,0.0030,0.7290,9.30,23.30,16.10,6.20,1.30,2.40,14.90,18.70,5.40,3.30,8.80,0.1950,0.4000,0.5000,0.9000,1.6000
1988-1989,"Danny Schayes",C,29,DEN,76,1918,15.40,0.6180,0.0150,0.6620,7.20,20.30,13.40,6.90,1.00,2.40,17.00,18.80,3.20,2.40,5.60,0.1410,-1.2000,0.0000,-1.2000,0.4000
1989-1990,"Danny Schayes",C,30,DEN,53,1194,16.50,0.6170,0.0120,0.8000,9.70,21.00,15.00,6.40,1.60,2.20,13.90,17.00,2.80,2.10,4.50,0.1830,-0.4000,0.6000,0.3000,0.7000
1982-1983,"Danny Schayes",C,23,TOT,82,2284,12.10,0.5190,0.0010,0.3940,9.10,19.00,14.10,11.70,1.00,2.20,22.40,19.10,-0.40,2.30,2.00,0.0410,-2.7000,-0.3000,-3.0000,-0.6000
1981-1982,"Danny Schayes",C,22,UTA,82,1623,13.20,0.5320,0.0020,0.3530,8.50,20.00,14.10,11.60,1.30,2.40,20.00,18.70,0.40,1.30,1.70,0.0500,-2.4000,0.1000,-2.3000,-0.1000
1982-1983,"Danny Schayes",C,23,UTA,50,1638,11.70,0.5160,0.0020,0.3790,8.80,18.90,14.00,13.40,1.10,2.10,24.50,19.00,-0.80,1.90,1.10,0.0330,-2.8000,0.0000,-2.8000,-0.3000
1986-1987,"Danny Vranes",SF,28,PHI,58,817,6.90,0.4440,0.0360,0.3260,7.30,13.10,10.30,4.80,2.10,1.80,14.10,9.50,-0.10,0.90,0.80,0.0480,-3.8000,1.2000,-2.6000,-0.1000
1987-1988,"Danny Vranes",SF,29,PHI,57,772,7.00,0.4440,0.0250,0.2890,6.70,10.90,8.80,6.30,1.70,2.60,15.50,8.80,-0.10,0.60,0.60,0.0350,-3.0000,1.3000,-1.7000,0.1000
1981-1982,"Danny Vranes",SF,23,SEA,77,1075,11.20,0.5730,0.0040,0.5650,7.40,12.40,10.00,6.90,1.30,1.10,17.20,15.20,0.80,1.50,2.40,0.1060,-2.1000,0.5000,-1.6000,0.1000
1982-1983,"Danny Vranes",SF,24,SEA,82,2054,10.60,0.5440,0.0020,0.4870,9.60,12.30,11.00,7.30,1.20,1.30,16.40,12.10,1.90,2.30,4.20,0.0990,-1.3000,0.5000,-0.7000,0.7000
1983-1984,"Danny Vranes",SF,25,SEA,80,2174,10.70,0.5590,0.0020,0.4770,7.90,12.70,10.30,8.00,1.10,1.40,16.80,13.80,1.50,1.90,3.40,0.0760,-1.9000,0.1000,-1.8000,0.1000
1984-1985,"Danny Vranes",SF,26,SEA,76,2163,8.30,0.4800,0.0100,0.3160,8.30,15.10,11.70,9.40,1.70,1.50,20.60,11.20,-0.60,2.40,1.80,0.0390,-3.4000,1.2000,-2.2000,-0.1000
1985-1986,"Danny Vranes",SF,27,SEA,80,1569,7.80,0.4750,0.0140,0.2640,8.50,12.80,10.60,5.80,2.00,1.20,15.50,10.00,0.20,1.90,2.10,0.0650,-2.9000,1.2000,-1.6000,0.1000
1988-1989,"Danny Young",PG,26,POR,48,952,11.80,0.5340,0.2000,0.2560,1.90,6.70,4.20,15.90,2.70,0.20,13.90,13.10,1.00,0.80,1.80,0.0910,-1.1000,1.2000,0.0000,0.5000
1989-1990,"Danny Young",PG,27,POR,82,1393,11.50,0.5080,0.1800,0.3410,2.20,7.40,4.80,20.70,2.80,0.20,17.50,12.90,1.00,2.10,3.00,0.1030,-1.2000,2.1000,0.9000,1.0000
1984-1985,"Danny Young",PG,22,SEA,3,26,0.50,0.2000,0.1000,0.0000,0.00,13.40,6.70,10.20,5.60,0.00,16.70,19.30,-0.20,0.00,-0.10,-0.1880,-9.9000,3.8000,-6.1000,0.0000
1985-1986,"Danny Young",PG,23,SEA,82,1901,13.70,0.5730,0.1650,0.2360,1.80,5.80,3.70,22.20,2.90,0.30,15.70,12.90,2.70,2.10,4.80,0.1210,0.2000,1.7000,1.9000,1.9000
1986-1987,"Danny Young",PG,24,SEA,73,1482,12.80,0.5510,0.2740,0.2470,1.70,6.60,4.20,29.20,2.40,0.10,21.00,10.70,2.00,0.90,2.90,0.0950,0.8000,0.3000,1.1000,1.2000
1987-1988,"Danny Young",PG,25,SEA,77,949,13.30,0.5030,0.3530,0.2430,2.10,6.90,4.40,28.80,2.60,0.10,13.30,11.80,1.60,0.80,2.40,0.1220,0.4000,0.7000,1.1000,0.8000
1988-1989,"Darnell Valentine",SG,29,CLE,77,1086,11.50,0.4970,0.0440,0.3510,2.40,8.00,5.30,21.30,2.60,0.40,18.40,17.70,0.10,1.50,1.70,0.0740,-2.5000,1.0000,-1.5000,0.1000
1985-1986,"Darnell Valentine",PG,26,LAC,34,483,11.80,0.4650,0.0600,0.4120,2.70,9.50,6.10,31.00,2.20,0.10,21.00,22.60,-0.30,0.20,-0.20,-0.0170,-2.2000,-2.1000,-4.3000,-0.3000
1986-1987,"Darnell Valentine",PG,27,LAC,65,1759,14.50,0.4780,0.0830,0.2980,2.20,7.60,4.70,37.30,3.10,0.30,18.00,21.00,0.00,1.10,1.10,0.0290,-0.4000,-0.5000,-1.0000,0.5000
1987-1988,"Darnell Valentine",PG,28,LAC,79,1636,13.50,0.4740,0.0620,0.2550,2.30,8.00,5.10,34.90,3.60,0.30,20.00,18.40,-0.50,2.00,1.50,0.0430,-1.8000,1.0000,-0.8000,0.5000
1981-1982,"Darnell Valentine",PG,22,POR,82,1387,13.10,0.4860,0.0200,0.4420,3.90,8.10,6.00,24.90,3.20,0.10,19.00,19.80,0.30,1.40,1.70,0.0590,-2.0000,0.5000,-1.6000,0.2000
1982-1983,"Darnell Valentine",PG,23,POR,47,1298,17.30,0.5300,0.0020,0.4630,2.90,7.20,5.10,31.60,3.70,0.20,19.10,21.40,1.70,1.70,3.40,0.1240,0.9000,1.1000,2.0000,1.3000
1983-1984,"Darnell Valentine",PG,24,POR,68,1893,13.80,0.5200,0.0050,0.4390,3.00,5.00,4.00,26.60,2.70,0.20,18.20,17.40,2.10,1.60,3.70,0.0930,0.0000,-0.1000,-0.2000,0.9000
1984-1985,"Darnell Valentine",PG,25,POR,75,2278,15.10,0.5410,0.0030,0.4270,2.70,8.10,5.40,28.90,2.90,0.10,19.40,17.40,2.60,2.40,5.00,0.1060,0.1000,0.5000,0.6000,1.5000
1985-1986,"Darnell Valentine",PG,26,POR,28,734,12.70,0.5120,0.0150,0.4850,3.10,8.00,5.60,24.20,3.10,0.10,18.80,16.60,0.40,0.70,1.10,0.0740,-1.0000,1.0000,0.0000,0.4000
1985-1986,"Darnell Valentine",PG,26,TOT,62,1217,12.40,0.4900,0.0360,0.4510,2.90,8.60,5.80,26.90,2.70,0.10,19.80,19.00,0.10,0.90,1.00,0.0380,-1.5000,-0.2000,-1.7000,0.1000
1980-1981,"Darrell Allums",PF,22,DAL,22,276,5.30,0.3850,0.0150,0.3280,7.60,19.70,13.40,12.50,0.90,1.70,23.10,15.10,-0.50,0.20,-0.30,-0.0540,-5.5000,-0.1000,-5.6000,-0.3000
1980-1981,"Darrell Griffith",SG,22,UTA,81,2867,14.70,0.4960,0.0340,0.2070,3.20,8.30,5.80,11.40,1.80,0.80,12.10,28.80,-0.80,1.10,0.40,0.0060,-1.0000,-2.2000,-3.2000,-0.9000
1981-1982,"Darrell Griffith",SG,23,UTA,80,2597,15.80,0.5110,0.0360,0.1900,5.20,7.50,6.30,10.80,1.70,0.70,11.10,26.80,1.40,0.70,2.10,0.0380,0.2000,-2.1000,-1.9000,0.0000
1982-1983,"Darrell Griffith",SG,24,UTA,77,2787,15.80,0.5140,0.0850,0.1580,3.80,7.20,5.60,15.60,2.20,0.60,13.20,26.90,0.60,2.20,2.80,0.0480,0.2000,-1.1000,-0.9000,0.8000
1983-1984,"Darrell Griffith",SG,25,UTA,82,2650,16.10,0.5390,0.1770,0.1520,4.00,9.10,6.70,16.50,2.00,0.40,13.80,26.40,1.30,2.20,3.50,0.0630,0.4000,-1.2000,-0.7000,0.9000
1984-1985,"Darrell Griffith",SG,26,UTA,78,2776,15.60,0.5120,0.1610,0.1870,4.70,8.00,6.40,14.20,2.20,0.60,12.50,28.20,-0.30,3.80,3.50,0.0610,0.2000,-0.3000,0.0000,1.4000
1986-1987,"Darrell Griffith",SG,28,UTA,76,1843,15.00,0.5050,0.1930,0.2040,4.50,8.30,6.40,11.10,2.40,0.90,10.70,27.20,-0.10,2.60,2.50,0.0660,-0.1000,0.3000,0.2000,1.0000
1987-1988,"Darrell Griffith",SG,29,UTA,52,1052,12.70,0.4710,0.1740,0.1570,3.80,8.90,6.50,13.40,2.30,0.30,9.70,26.90,-0.70,1.50,0.80,0.0370,-2.0000,0.0000,-2.1000,0.0000
1988-1989,"Darrell Griffith",SG,30,UTA,82,2382,12.30,0.5040,0.1880,0.1740,3.90,11.00,7.70,8.90,1.80,0.60,11.10,22.50,0.20,3.70,3.90,0.0780,-1.7000,0.0000,-1.7000,0.2000
1989-1990,"Darrell Griffith",SG,31,UTA,82,1444,13.60,0.5360,0.3310,0.1200,3.70,9.40,6.70,6.90,2.40,0.80,9.90,22.90,0.60,2.10,2.50,0.0830,-0.4000,0.3000,-0.1000,0.7000
1983-1984,"Darrell Lockhart",C,23,SAS,2,14,1.60,1.0000,0.0000,0.0000,0.00,22.40,11.40,0.00,0.00,0.00,50.00,11.10,0.00,0.00,0.00,-0.0480,-4.8000,0.0000,-4.9000,0.0000
1986-1987,"Darrell Walker",PG,25,DEN,81,2020,15.80,0.5470,0.0050,0.4920,7.70,9.40,8.50,18.10,2.70,1.00,17.20,20.70,2.00,1.80,3.80,0.0900,0.3000,0.2000,0.4000,1.3000
1983-1984,"Darrell Walker",PG,22,NYK,82,1324,15.90,0.5080,0.0290,0.5080,6.80,8.50,7.70,31.10,4.60,0.70,23.40,26.10,-0.40,2.70,2.30,0.0830,-0.5000,2.3000,1.8000,1.3000
1984-1985,"Darrell Walker",PG,23,NYK,82,2489,14.70,0.4830,0.0170,0.3510,5.80,7.20,6.50,23.60,3.20,0.50,15.20,22.40,0.50,2.30,2.80,0.0540,0.0000,0.6000,0.6000,1.7000
1985-1986,"Darrell Walker",PG,24,NYK,81,2023,14.00,0.4790,0.0130,0.3680,5.30,7.00,6.20,25.30,3.50,1.10,18.00,22.10,-0.90,3.00,2.10,0.0500,-0.6000,1.9000,1.3000,1.7000
1987-1988,"Darrell Walker",SG,26,WSB,52,940,10.60,0.4600,0.0210,0.3610,5.10,10.10,7.50,14.70,3.20,0.60,17.00,17.80,-0.40,1.20,0.80,0.0410,-2.7000,2.0000,-0.7000,0.3000
1988-1989,"Darrell Walker",PG,27,WSB,79,2565,13.40,0.4690,0.0130,0.2700,5.50,16.50,10.80,25.00,2.90,0.50,19.50,14.80,0.50,3.30,3.70,0.0700,-1.1000,1.9000,0.9000,1.8000
1989-1990,"Darrell Walker",PG,28,WSB,81,2883,15.60,0.4920,0.0300,0.2890,6.40,20.40,13.40,28.40,2.30,0.60,18.10,13.60,2.70,2.10,6.30,0.1050,0.4000,1.8000,2.3000,3.1000
1986-1987,"Darren Daye",SF,26,BOS,61,724,9.60,0.5120,0.0000,0.3220,6.30,12.50,9.60,13.30,1.70,0.50,19.50,16.90,-0.20,0.80,0.60,0.0430,-3.2000,0.0000,-3.1000,-0.2000
1987-1988,"Darren Daye",SF,27,BOS,47,655,13.60,0.5540,0.0050,0.4010,5.80,7.80,6.90,14.70,2.20,0.40,14.70,19.60,0.70,0.50,1.20,0.0860,-0.5000,0.0000,-0.4000,0.2000
