Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Dominique Wilkins*,SF,27,ATL,79,37.6,29.0,6.3,3.3,1.5,0.6,2.7,0.463,0.292,0.474,0.472,0.818,1986-1987,23.5,0.543,32.3,8.4,3.7,12.2,0.197,5.5,0.0,5.5,5.6
Eddie Lee Wilkins,PF,24,NYK,24,18.9,5.8,4.5,0.3,0.4,0.1,1.2,0.441,,0.444,0.441,0.466,1986-1987,7.0,0.456,16.6,-0.4,0.3,-0.1,-0.012,-5.1,-2.6,-7.7,-0.7
Gerald Wilkins,SG,23,NYK,80,34.5,19.1,3.7,4.4,1.1,0.2,2.7,0.486,0.351,0.494,0.496,0.701,1986-1987,16.2,0.527,25.2,2.3,1.0,3.3,0.057,1.5,-1.5,0.0,1.4
Buck Williams,PF,26,NJN,82,36.3,18.0,12.5,1.6,1.0,1.1,3.4,0.557,,0.557,0.557,0.731,1986-1987,17.6,0.616,20.0,4.3,3.6,7.9,0.127,0.9,-0.5,0.5,1.9
Herb Williams,PF,28,IND,74,34.1,14.9,7.3,2.4,0.8,1.3,2.0,0.48,0.0,0.485,0.48,0.74,1986-1987,14.1,0.521,19.9,1.3,3.4,4.7,0.09,-0.7,0.6,-0.2,1.1
Hot Rod Williams,PF,24,CLE,80,33.9,14.6,7.9,1.9,0.7,2.1,1.7,0.485,,0.485,0.485,0.745,1986-1987,16.2,0.544,17.9,3.8,3.7,7.5,0.132,0.5,0.9,1.4,2.3
John Williams,SF,20,WSB,78,22.7,9.2,4.7,2.4,1.7,0.4,1.6,0.454,0.222,0.468,0.46,0.646,1986-1987,15.5,0.497,19.1,0.8,2.8,3.5,0.096,-0.2,2.0,1.8,1.7
Ray Williams,PG,32,NJN,32,25.0,9.9,2.3,5.8,1.2,0.3,2.9,0.452,0.25,0.473,0.464,0.817,1986-1987,11.9,0.503,20.7,-0.2,0.5,0.4,0.022,-1.0,-0.9,-1.9,0.0
Kevin Willis,PF,24,ATL,81,32.4,16.1,10.5,0.8,0.8,0.8,2.1,0.536,,0.538,0.537,0.709,1986-1987,17.4,0.57,20.6,4.4,4.2,8.6,0.156,0.8,-0.5,0.3,1.5
David Wingate,SG,23,PHI,77,20.9,8.8,2.0,2.0,1.2,0.2,1.7,0.43,0.25,0.447,0.441,0.741,1986-1987,11.9,0.492,21.3,-0.1,1.5,1.4,0.041,-2.2,0.2,-2.1,0.0
Randy Wittman,SG,27,ATL,71,28.9,12.7,1.7,3.0,0.5,0.2,1.2,0.503,0.333,0.505,0.505,0.787,1986-1987,13.0,0.531,18.8,2.6,1.5,4.2,0.098,-0.1,-0.5,-0.6,0.7
Leon Wood,PG,24,NJN,76,22.8,7.3,1.6,4.9,0.6,0.0,1.4,0.373,0.3,0.422,0.433,0.799,1986-1987,11.1,0.49,15.7,1.3,0.6,2.0,0.054,0.2,-1.3,-1.1,0.4
Mike Woodson,SG,28,LAC,74,28.7,17.1,2.2,2.6,1.4,0.2,2.3,0.437,0.276,0.457,0.452,0.828,1986-1987,13.9,0.502,26.7,0.2,0.7,0.9,0.021,-1.1,-1.4,-2.5,-0.2
Orlando Woolridge,SF,27,NJN,75,35.2,20.7,4.9,3.5,0.7,1.1,2.8,0.521,0.125,0.524,0.522,0.777,1986-1987,17.6,0.59,23.4,5.3,1.6,6.8,0.124,2.6,-0.5,2.1,2.7
James Worthy*,SF,25,LAL,82,34.4,19.4,5.7,2.8,1.3,1.0,2.0,0.539,0.0,0.545,0.539,0.751,1986-1987,18.4,0.578,22.3,5.9,3.4,9.3,0.158,2.3,0.3,2.6,3.3
Danny Young,PG,24,SEA,73,20.3,4.8,1.5,4.8,1.0,0.0,1.2,0.458,0.367,0.493,0.509,0.831,1986-1987,12.8,0.551,10.7,2.0,0.9,2.9,0.095,0.8,0.3,1.1,1.2
