Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Robert Reid,SF,33,CHH,82,26.2,14.7,3.7,1.9,0.6,0.2,1.3,0.428,0.327,0.432,0.435,0.776,1988-1989,12.2,0.464,26.8,-0.8,0.7,-0.1,-0.002,-2.0,-2.1,-4.1,-1.1
Mitch Richmond*,SG,23,GSW,79,34.4,22.0,5.9,4.2,1.0,0.2,3.4,0.468,0.367,0.475,0.48,0.81,1988-1989,17.2,0.541,26.2,3.6,1.9,5.6,0.098,1.3,-1.4,-0.1,1.3
Doc Rivers,PG,27,ATL,76,32.4,13.6,3.8,6.9,2.4,0.5,2.1,0.455,0.347,0.474,0.481,0.861,1988-1989,18.4,0.548,18.2,5.4,3.2,8.5,0.167,2.4,2.4,4.8,4.2
Fred Roberts,PF,28,MIL,71,17.6,5.9,2.9,0.9,0.5,0.3,1.1,0.486,0.214,0.498,0.491,0.806,1988-1989,10.6,0.555,15.1,0.7,1.3,2.0,0.077,-1.7,0.1,-1.6,0.1
Alvin Robertson,SG,26,SAS,65,35.2,17.3,5.9,6.0,3.0,0.6,3.6,0.483,0.2,0.497,0.488,0.723,1988-1989,17.2,0.523,22.2,1.3,3.1,4.4,0.093,0.8,1.8,2.5,2.6
Dennis Rodman*,SF,27,DET,82,26.9,9.0,9.4,1.2,0.7,0.9,1.5,0.595,0.231,0.614,0.601,0.626,1988-1989,16.3,0.613,14.1,4.1,3.9,8.1,0.175,1.0,1.1,2.2,2.3
Brian Rowsom,PF,23,CHH,34,15.2,6.6,4.0,0.7,0.3,0.4,0.5,0.494,,0.491,0.497,0.802,1988-1989,15.7,0.572,17.1,1.2,0.3,1.5,0.135,0.5,-1.4,-0.9,0.1
John Salley,PF,24,DET,67,21.8,7.0,5.0,1.1,0.6,1.1,1.5,0.498,,0.502,0.498,0.692,1988-1989,12.4,0.558,15.2,1.1,2.3,3.5,0.115,-1.3,2.1,0.7,1.0
Ralph Sampson*,C,28,GSW,61,17.8,6.4,5.0,1.3,0.5,1.1,1.5,0.449,0.375,0.451,0.453,0.653,1988-1989,11.4,0.483,17.3,-0.3,1.4,1.1,0.048,-3.2,0.6,-2.6,-0.2
Mike Sanders,SF,28,CLE,82,25.6,9.3,3.7,1.6,1.1,0.4,1.3,0.453,0.3,0.455,0.455,0.719,1988-1989,10.5,0.482,18.1,0.0,3.1,3.1,0.071,-3.0,0.7,-2.3,-0.2
Danny Schayes,C,29,DEN,76,25.2,12.8,6.6,1.4,0.6,1.1,2.1,0.522,0.333,0.525,0.525,0.826,1988-1989,15.4,0.618,18.8,3.2,2.4,5.6,0.141,-1.2,0.0,-1.2,0.4
