"Player","Seasons","Teams","PTS","TRB","AST","STL","BLK","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Chuck Person",4,1,19.275,6.85,3.525,0.925,0.2,15.325,0.53,24.5,1.9,2.625,4.275,0.07225,0.775,-1.075,-0.325,1.2
"Johnny Moore",7,1,10.5,3.14285714285714,8.14285714285714,2.14285714285714,0.242857142857143,16.8285714285714,0.509285714285714,18.1857142857143,2.24285714285714,2.04285714285714,4.27142857142857,0.107,1.25714285714286,1,2.25714285714286,2.07142857142857
"Lester Conner",5,2,8.46,3.44,5.02,1.96,0.12,14.44,0.517,14.04,2.2,1.96,4.26,0.091,-0.44,1.48,1.04,1.7
"Ed Pinckney",3,4,10.58,5.56,1.42,1.02,0.72,15.98,0.6076,17.22,2.52,1.68,4.22,0.1326,0.4,0.46,0.86,1.06
"Elvin Hayes*",3,2,15.6,8.8,1.66666666666667,0.733333333333333,1.46666666666667,14.6666666666667,0.503666666666667,21.4333333333333,1,3.2,4.2,0.0713333333333333,-0.966666666666667,-0.266666666666667,-1.3,0.533333333333333
"Mark Eaton",8,1,6.725,8.475,1.1375,0.4125,4,11.3625,0.489625,11.65,-0.6625,4.5875,4.1875,0.07975,-3.175,3.2125,0.0375,1.2625
"Michael Brooks",4,1,13.45,6.675,2.625,1.275,0.425,15.275,0.5255,19.175,2.9,1.25,4.125,0.0865,0.8,-0.7,0.075,1.2
"Tiny Archibald*",4,2,11.075,1.75,6.35,0.75,0.075,12.875,0.53975,17.5,2.5,1.6,4.1,0.09375,0.15,-1.15,-1,0.625
"Scottie Pippen*",3,1,12.9333333333333,5.53333333333333,3.66666666666667,1.9,0.9,14.7,0.513666666666667,20.8333333333333,0.566666666666667,2.66666666666667,4,0.0776666666666667,-0.666666666666667,1.23333333333333,0.533333333333333,1.7
"Lewis Lloyd",5,2,13.92,3.1,3.12,0.94,0.34,16.42,0.5594,22.6,2.48,1.48,3.96,0.1032,1.04,-0.34,0.7,1.34
"Larry Smith",10,2,7.75,9.89,1.14,0.82,0.59,12.81,0.5382,12.31,1.96,1.93,3.94,0.0917,-0.85,-0.84,-1.71,0.27
"Mike Woodson",9,5,15.16,2.54,2.48,1.36,0.37,15.13,0.5228,23.71,2.14,1.86,3.94,0.0861,-0.2,0.03,-0.16,1.11
"Kenny Walker",3,1,9.46666666666667,4.9,0.933333333333333,0.666666666666667,0.733333333333333,12.7666666666667,0.543,16.1333333333333,2.3,1.9,3.93333333333333,0.105,-0.966666666666667,-0.2,-1.16666666666667,0.4
"Dave Corzine",9,2,9.91111111111111,6.65555555555556,1.88888888888889,0.488888888888889,1.11111111111111,13.7333333333333,0.526777777777778,16.9555555555556,1.72222222222222,2.17777777777778,3.92222222222222,0.0867777777777778,-0.388888888888889,-0.177777777777778,-0.588888888888889,0.777777777777778
"Jim Spanarkel",3,1,10.0666666666667,2.66666666666667,2.3,1,0.133333333333333,15.5666666666667,0.566,19.2666666666667,3.13333333333333,0.8,3.9,0.107,0.866666666666667,-0.233333333333333,0.633333333333333,1.3
"Andrew Toney",7,1,15.0285714285714,2.08571428571429,4.15714285714286,0.728571428571429,0.214285714285714,15.5428571428571,0.557571428571429,25.2571428571429,2.31428571428571,1.57142857142857,3.87142857142857,0.0922857142857143,0.628571428571429,-1.55714285714286,-0.914285714285714,0.671428571428571
"Muggsy Bogues",3,2,6.6,2.13333333333333,7.86666666666667,1.66666666666667,0.0333333333333333,14.9666666666667,0.473333333333333,13.7666666666667,2.13333333333333,1.73333333333333,3.86666666666667,0.0843333333333333,0.433333333333333,0.966666666666667,1.4,1.83333333333333
"Craig Ehlo",4,1,8.575,4.05,3.125,1.2,0.4,13.05,0.517,16.275,1.425,2.175,3.85,0.09475,-0.55,1.45,0.9,1.425
"Junior Bridgeman",6,2,13.5833333333333,3.23333333333333,2.66666666666667,0.7,0.183333333333333,15.05,0.522166666666667,23.1333333333333,2.16666666666667,1.68333333333333,3.85,0.102333333333333,0.183333333333333,-0.816666666666667,-0.616666666666667,0.65
"Micheal Ray Richardson",6,4,14.9875,5.2625,6.875,2.725,0.375,16.0375,0.485625,21.95,0.925,2.925,3.85,0.08225,0.2625,1.75,1.9875,2.275
"Roy Hinson",7,4,14.4777777777778,6.81111111111111,1.03333333333333,0.677777777777778,1.75555555555556,14.5111111111111,0.545333333333333,19.7444444444444,1.75555555555556,2.23333333333333,3.83333333333333,0.0891111111111111,-1.25555555555556,0.1,-1.15555555555556,0.444444444444444
"Frank Brickowski",3,1,12.1,5.8,2.36666666666667,1.16666666666667,0.5,14.7666666666667,0.574333333333333,18.8,1.9,1.8,3.83333333333333,0.102666666666667,-0.766666666666667,0.466666666666667,-0.3,0.766666666666667
"Otis Birdsong",7,2,17.2857142857143,2.68571428571429,3.61428571428571,1.15714285714286,0.2,15.3428571428571,0.521857142857143,23.8142857142857,2.14285714285714,1.68571428571429,3.82857142857143,0.0897142857142857,0.542857142857143,-0.6,-0.0714285714285713,1.04285714285714
"Fred Brown",4,1,11.35,1.5,2.9,0.825,0.1,17.075,0.53375,23.975,2.325,1.525,3.825,0.1155,1.375,-0.275,1.1,1.25
"Norm Nixon",7,3,15.0571428571429,2.42857142857143,8.41428571428571,1.31428571428571,0.0428571428571429,14.6714285714286,0.498428571428571,20.8857142857143,2.6,1.22857142857143,3.81428571428571,0.063,0.6,-1.8,-1.2,0.714285714285714
"John Paxson",6,2,8,1.31666666666667,3.98333333333333,0.733333333333333,0.05,12.15,0.545333333333333,14.5333333333333,2.81666666666667,1.16666666666667,3.8,0.0928333333333333,-0.766666666666667,-0.766666666666667,-1.5,0.25
"Armen Gilliam",3,3,16.55,7.975,1.2,0.95,0.6,15.525,0.54875,22.275,1.65,2.075,3.75,0.0825,-0.4,-1.175,-1.525,0.3
"Brian Winters",3,1,12.7,2.23333333333333,3.36666666666667,0.9,0.1,13.4666666666667,0.521666666666667,21.1666666666667,1.86666666666667,1.83333333333333,3.7,0.104333333333333,-0.366666666666667,-0.433333333333333,-0.8,0.566666666666667
"LaSalle Thompson",7,4,11.3555555555556,8.84444444444444,1.31111111111111,0.944444444444444,1.33333333333333,15.2111111111111,0.546666666666667,18.6444444444444,1.28888888888889,2.37777777777778,3.7,0.0935555555555556,-1.22222222222222,0.288888888888889,-0.9,0.566666666666667
