Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Dennis Johnson*,PG,35,BOS,75,27.1,7.1,2.7,6.5,1.1,0.2,1.6,0.434,0.042,0.455,0.435,0.843,1989-1990,12.4,0.495,13.5,2.0,2.1,3.8,0.089,-0.9,0.5,-0.3,0.9
Eddie Johnson,SF,30,PHO,64,28.3,16.9,3.8,1.7,0.5,0.2,1.7,0.453,0.38,0.472,0.492,0.917,1989-1990,14.9,0.542,25.2,2.4,2.1,3.9,0.104,0.7,-1.6,-0.9,0.5
Kevin Johnson,PG,23,PHO,74,37.6,22.5,3.6,11.4,1.3,0.2,3.6,0.499,0.195,0.51,0.502,0.838,1989-1990,22.8,0.585,25.0,9.0,2.1,11.6,0.2,5.3,-0.4,5.0,4.9
Magic Johnson*,PG,30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,3.7,0.48,0.384,0.51,0.526,0.89,1989-1990,26.6,0.622,24.8,12.8,2.1,16.5,0.27,8.3,1.8,10.1,8.9
Vinnie Johnson,SG,33,DET,82,24.0,9.8,3.1,3.1,0.9,0.2,1.5,0.431,0.147,0.444,0.434,0.668,1989-1990,12.9,0.467,21.5,0.5,2.1,3.2,0.079,-1.0,0.9,-0.1,0.9
Charles Jones,C,32,WSB,81,27.7,3.2,6.2,1.7,0.6,2.4,0.9,0.508,,0.508,0.508,0.648,1989-1990,9.2,0.554,5.6,1.0,2.1,3.8,0.082,-3.1,2.7,-0.5,0.9
Michael Jordan*,SG,26,CHI,82,39.0,33.6,6.9,6.3,2.8,0.7,3.0,0.526,0.376,0.548,0.55,0.848,1989-1990,31.2,0.606,33.7,14.7,2.1,19.0,0.285,9.1,2.1,11.2,10.6
Steve Kerr,PG,24,CLE,78,21.3,6.7,1.3,3.2,0.6,0.1,0.9,0.444,0.507,0.413,0.529,0.863,1989-1990,12.0,0.56,14.0,2.1,2.1,3.2,0.093,-0.3,-0.5,-0.8,0.5
Jerome Kersey,SF,27,POR,82,34.7,16.0,8.4,2.3,1.5,0.8,1.8,0.478,0.15,0.485,0.48,0.69,1989-1990,15.7,0.521,19.4,4.1,2.1,8.8,0.148,0.5,1.2,1.8,2.7
Randolph Keys,SF,23,TOT,80,20.2,8.8,3.2,1.1,0.9,0.1,1.1,0.432,0.326,0.439,0.442,0.721,1989-1990,10.9,0.474,21.9,-0.5,2.1,1.0,0.03,-3.4,-0.6,-4.0,-0.8
Randolph Keys,SF,23,CLE,48,18.6,7.6,2.9,0.8,0.8,0.0,1.0,0.421,0.2,0.427,0.423,0.744,1989-1990,9.8,0.462,21.4,-0.4,2.1,0.6,0.03,-4.5,-0.3,-4.7,-0.6
Randolph Keys,SF,23,CHH,32,22.6,10.5,3.6,1.5,0.9,0.2,1.2,0.445,0.364,0.455,0.464,0.69,1989-1990,12.3,0.488,22.5,-0.1,2.1,0.5,0.031,-2.0,-1.1,-3.1,-0.2
Bernard King*,SF,33,WSB,82,32.8,22.4,4.9,4.6,0.6,0.1,3.0,0.487,0.13,0.493,0.488,0.803,1989-1990,18.8,0.545,29.4,4.1,2.1,5.5,0.099,2.3,-1.9,0.5,1.7
Stacey King,PF,23,CHI,82,21.7,8.9,4.7,1.1,0.5,0.7,1.5,0.504,,0.505,0.504,0.727,1989-1990,13.8,0.562,18.4,2.2,2.1,3.6,0.098,-1.4,-1.6,-3.0,-0.4
Greg Kite,C,28,SAC,71,21.3,3.2,5.3,1.1,0.4,0.7,1.1,0.432,,0.429,0.434,0.5,1989-1990,7.0,0.446,9.5,-0.6,2.1,0.8,0.026,-4.2,0.4,-3.8,-0.7
Joe Kleine,C,28,BOS,81,16.9,5.4,4.4,0.6,0.2,0.3,0.8,0.48,,0.485,0.48,0.83,1989-1990,10.5,0.529,14.7,1.0,2.1,2.3,0.082,-2.5,-1.2,-3.7,-0.6
Jon Koncak,C,26,ATL,54,18.1,3.7,4.2,0.4,0.7,0.6,0.9,0.614,,0.619,0.614,0.532,1989-1990,8.7,0.612,9.0,0.4,2.1,1.4,0.068,-3.2,1.5,-1.7,0.1
