"Player","Pos","Age","Tm","G","MP","PTS","TRB","AST","STL","BLK","TOV","FG%","3P%","2P%","eFG%","FT%","Season","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Allan Bristow","SF",29,"UTA",82,24.4,8.7,5.2,4.7,0.8,0,2.1,0.444,0.278,0.449,0.448,0.838,"1980-1981",14.9,0.511,18.7,1.4,1.3,2.7,0.065,0.3,-0.5,-0.2,0.9
"Michael Brooks","SF",22,"SDC",82,30.2,14.7,5.4,2.5,1.2,0.4,2,0.479,0,0.482,0.479,0.706,"1980-1981",15.8,0.519,21.7,3.2,1.7,4.9,0.095,0.9,-0.9,0,1.2
"Fred Brown","SG",32,"SEA",78,25.5,15.5,2.2,3,1.1,0.2,1.7,0.488,0.359,0.496,0.499,0.832,"1980-1981",18.3,0.535,25.8,3.5,1.8,5.2,0.127,2.1,-0.1,2,2
"Joe Bryant","PF",26,"SDC",82,28.8,11.6,5.4,2.3,0.9,0.4,2.1,0.479,0.133,0.486,0.48,0.791,"1980-1981",12.8,0.53,18.6,1.7,1.7,3.4,0.069,-1.1,-0.6,-1.7,0.2
"Quinn Buckner","PG",26,"MIL",82,29.1,13.3,3.6,4.7,2.4,0,2.9,0.493,0.167,0.495,0.493,0.734,"1980-1981",15.1,0.522,21.1,1.4,4,5.4,0.108,-0.9,1.7,0.8,1.7
"Don Buse","SG",30,"IND",58,18.9,5.1,1.4,2.4,1.3,0.1,0.7,0.397,0.328,0.415,0.43,0.769,"1980-1981",11.7,0.471,12.9,0.9,1.2,2,0.089,-1.2,1.7,0.5,0.7
"Marty Byrnes","SF",24,"DAL",72,18.9,7.8,2.5,1.6,0.4,0.2,0.8,0.479,0.45,0.48,0.489,0.764,"1980-1981",13.6,0.539,17.9,2.1,0.2,2.3,0.081,0.6,-1.2,-0.6,0.5
"Kenny Carr","PF",25,"CLE",81,32.3,15.2,10.3,2.4,0.9,0.5,2.9,0.511,NA,0.513,0.511,0.714,"1980-1981",17,0.56,20.4,3.3,2.6,5.8,0.107,0.4,-0.4,0,1.3
"M.L. Carr","SF",30,"BOS",41,16,6,2,1.4,0.7,0.4,1.1,0.449,0.071,0.475,0.451,0.791,"1980-1981",11.6,0.505,18.2,0.2,0.9,1.1,0.082,-1.6,1.2,-0.4,0.3
"Joe Barry Carroll","C",22,"GSW",82,35.6,18.9,9.3,1.4,0.6,1.5,3,0.491,NA,0.492,0.491,0.716,"1980-1981",16.4,0.534,23,3.7,2,5.7,0.094,0,-1.3,-1.3,0.5
